Symptom,Disease
기침,"RS바이러스 감염증(RS virus infection), 가습기 살균제 연관 폐질환(Humidifier disinfectant-associated lung injury), 가와사키병(Kawasaki Disease), 결핵(Tuberculosis), 규폐증(Silicosis), 급성 기관지염(Acute bronchitis), 기관지확장증(Bronchiectasis), 꽃가루 알레르기(Pollen allergy), 낭종성 폐질환(Cystic Lung Disease), 노카르디아증(Nocardiosis), 농흉(Pyothorax, Empyema), 늑막염(Pleurisy), 대동맥판막 기능부전(Aortic (valve) insufficiency), 대동맥판막 협착(Aortic (valve) stenosis), 디프테리아(Diphtheritia), 레지오넬라증(Legionella), 마버그열(Marburg hemorrhagic fever), 만성 기관지염(Chronic bronchitis), 만성 기침(Chronic cough), 만성 비염(Chronic rhinitis), 만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease), 만성 폐질환(Chronic lung disease), 메리오이드증(Melioidosis), 미만성 간질성 폐질환(Diffuse Interstitial lung disease), 바이러스성 장염(Viral enteritis(Rota)), 발진열(Murine typhus), 방선균증(Actinomycosis), 백일해(Pertussis), 병원 감염성 폐렴(Hospital acquired pneumonia (HAP)), 부비동염(Sinusitis), 비소세포성 폐암(Non-small cell lung cancer), 상기도 감염(Upper respiratory infections), 상대정맥 증후군(Superior vena cava Syndrome), 소세포성 폐암(Small cell lung cancer), 속립성 결핵(Miliary tuberculosis), 승모판 기능부전(Mitral (valve) insufficiency), 승모판 협착(Mitral (valve) stenosis), 식도암(Esophageal cancer), 식도의 이물(Foreign body in esophagus), 신증후군(Nephrotic syndrome), 심낭 삼출 (Pericardial effusion), 아나필락시스(Anaphylactic shock), 악성 종격동 종양(Malignant mediastinal tumor), 악성 중피종(Malignant mesothelioma), 악성 흉막 삼출(Malignant pleural effusion), 야토병(Tularemia), 양성 종격동 종양(Benign mediastinal tumor), 운동신경 질환(Motor neuron disease), 위식도 역류성 질환(Gastro-esophagus reflux disease), 익수(Submersion), 인후두염(Laryngopharyngitis), 전이성 신장암(Kidney, cancer, metastatic), 조류 인플루엔자(AI) 인체감염증(Avian Influenza Human Infection), 중동 호흡기 증후군(MERS)(Middle East Respiratory Syndrome), 중증 급성 호흡기 증후군(Severe Acute Respiratory Syndrom), 지역사회성 폐렴(Community acquired pneumonia), 진폐증(Pneumoconiosis), 처그 스트라우스 증후군(Churg strauss syndrome), 천식(Asthma), 카포시 육종(Kaposi's sarcoma), 코로나-19(COVID-19), 큐열(Q Fever), 톡소플라즈마증(Toxoplasmosis), 특발성 폐섬유화증(Idiopathic pulmonary fibrosis), 파라인플루엔자 감염증(Parainfluenza infection), 폐 농양(Abscess of lung), 폐 전이(Lung Metastasis), 폐 혈전색전증(Pulmonary thromboembolism), 폐결핵(Pulmonary tuberculosis), 폐기종(Emphysema), 폐렴(Pneumonia), 폐부종(Pulmonary edema), 폐암(Lung cancer), 호산구 증가증(Eosinophilia), 홍역(Measles), 후두암(Larynx  cancer), 후비루(Postnasal drip), 흉막 삼출(Pleural effusion), 흉부 대동맥류(Thoracic aortic Aneurysm), 흉선암(Thymus Cancer), 흑사병(Yersinia Pestis), 히스토플라즈마증(Histoplasmosis)"
가래,"RS바이러스 감염증(RS virus infection), 객혈(Hemoptysis), 결핵(Tuberculosis), 규폐증(Silicosis), 급성 기관지염(Acute bronchitis), 기관지확장증(Bronchiectasis), 늑막염(Pleurisy), 대동맥판막 기능부전(Aortic (valve) insufficiency), 대동맥판막 협착(Aortic (valve) stenosis), 만성 기관지염(Chronic bronchitis), 만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease), 만성 폐질환(Chronic lung disease), 미만성 간질성 폐질환(Diffuse Interstitial lung disease), 병원 감염성 폐렴(Hospital acquired pneumonia (HAP)), 속립성 결핵(Miliary tuberculosis), 승모판 기능부전(Mitral (valve) insufficiency), 승모판 협착(Mitral (valve) stenosis), 신증후군(Nephrotic syndrome), 지역사회성 폐렴(Community acquired pneumonia), 천식(Asthma), 코로나-19(COVID-19), 파라인플루엔자 감염증(Parainfluenza infection), 폐결핵(Pulmonary tuberculosis), 폐기종(Emphysema), 폐렴(Pneumonia)"
호흡곤란,"Rh 부적합 임신(Rh Incompatibility pregnancy), 가습기 살균제 연관 폐질환(Humidifier disinfectant-associated lung injury), 갑상선 결절(Thyroid nodule), 갑상선 미분화암(Undifferentiated thyroid cancer), 갑상선 수질암(Medullary thyroid cancer), 갑상선 여포암(Follicular thyroid cancer), 갑상선 유두암(Papillary Carcinoma of Thyroid ), 갑상선암(Thyroid cancer), 고마그네슘혈증(Hypermagnesemia), 골수형성이상증후군(Myelodysplastic syndromes), 공기가슴증(기흉)(Pneumothorax), 과호흡 증후군(Hyperventilation syndrome), 광견병(Rabies), 근육병(Myopathy), 급성 관동맥 증후군(Acute Coronary Syndrome), 급성 기관지염(Acute bronchitis), 급성 심근경색증(Acute myocardial infarction), 급성골수성백혈병(Acute myeloid leukemia), 기관 협착(Stenosis of trachea), 길랑-바레 증후군(Guillain-Barre Syndrome), 꽃가루 알레르기(Pollen allergy), 낭종성 폐질환(Cystic Lung Disease), 낭포성 히그로마(Cystic hygroma), 농흉(Pyothorax, Empyema), 늑막염(Pleurisy), 대동맥 협착증(Coarctation of aorta), 대동맥궁 단절(Interrupted aortic arch), 대동맥판막 기능부전(Aortic (valve) insufficiency), 대동맥판막 협착(Aortic (valve) stenosis), 대혈관 전위(Transposition of great artery), 동기능 부전 증후군(Sick sinus syndrome), 동맥간증(Truncus arteriosus), 로하드 증후군(ROHHAD Syndrome), 만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease), 메리오이드증(Melioidosis), 미만성 간질성 폐질환(Diffuse Interstitial lung disease), 발살바동 동맥류 파열(Ruptured sinus of valsava aneurysm), 발육부전성 좌심 증후군(Hypoplastic left heart syndrome), 발작성 상심실성 빈맥(Paroxysmal Supraventricular Tachycardia), 보툴리눔독소증(Botulism), 복막염(Peritonitis), 복수(Ascites), 부르가다 증후군(Brugada Syndrome), 불안정형 협심증(Unstable angina), 비만(Obesity), 비소세포성 폐암(Non-small cell lung cancer), 상대정맥 증후군(Superior vena cava Syndrome), 선모충증(Trichinellosis), 선천성 갑상선기능저하증(Congenital hypothyroidism), 선천성 심장 질환(Congenital heart disease), 성인 호흡곤란 증후군(Adult respiratory distress syndrome), 소적혈구빈혈(Microcytic anemia), 소화관의 이물(Foreign body in alimentary tract), 수정대혈관 전위(Corrected TGA), 순수적혈구무형성(Pure red cell aplasia), 스티븐 존슨 증후군(Stevens Johnson syndrome), 승모판 기능부전(Mitral (valve) insufficiency), 승모판 협착(Mitral (valve) stenosis), 식도 정맥류(Esophageal varices), 신경모세포종(Neuroblastoma), 신경절 신경종(Ganglioneuroma), 신생아 다혈구증(Polycythemia), 신생아 호흡곤란증후군(Neonatal respiratory distress syndrome), 신증후군(Nephrotic syndrome), 심계항진(Palpitations), 심낭 삼출 (Pericardial effusion), 심낭 압전(Cardiac tamponade), 심낭염(Pericarditis), 심내막염(Endocarditis), 심방 세동(Atrial fibrillation), 심방 조동(Atrial Flutter), 심실 빈맥(Ventricular tachycardia), 심실 세동(Ventricular fibrillation), 심장 판막 질환(Valvular heart disease), 아나필락시스(Anaphylactic shock), 아데노이드의 비대를 동반한 편도의 비대(Hypertrophy of tonsils with hypertrophy of adenoids), 아밀로이드증(Amyloidosis), 아스페르길루스증(Aspergillosis), 악성 중피종(Malignant mesothelioma), 악성 흉막 삼출(Malignant pleural effusion), 양대혈관 우심실 기시증(Double outlet right ventricle), 양방단실유입증(Double inlet ventricle), 양성 종격동 종양(Benign mediastinal tumor), 양수과다증(Hydramnios), 양수색전증(Amniotic fluid embolism), 엡스테인 심기형(Ebstein anomaly), 열사병(Heat stroke), 완전 척수 손상(Complete cord injury), 외상성 경막하 출혈(Traumatic subdural hemorrhage), 운동신경 질환(Motor neuron disease), 울혈성 심부전(Congestive heart failure), 위장관 출혈(Gastrointestinal hemorrhage), 음식 알레르기(Food allergy), 이물질에 의한 기도 막힘(Airway obstruction), 일산화탄소 중독(Carbon monoxide-poisoning), 재생불량빈혈(Aplastic anemia), 전도 장애(Conduction disorders), 전이성 신장암(Kidney, cancer, metastatic), 종격동염(Mediastinitis), 중동 호흡기 증후군(MERS)(Middle East Respiratory Syndrome), 중증 급성 호흡기 증후군(Severe Acute Respiratory Syndrom), 지역사회성 폐렴(Community acquired pneumonia), 지주막하 출혈(Subarachnoid hemorrhage), 지중해빈혈(Thalassemia), 차지 증후군(CHARGE Syndrome), 처그 스트라우스 증후군(Churg strauss syndrome), 천식(Asthma), 철결핍빈혈(Iron deficiency anemia), 총동맥간증(Persistent truncus arteriosus), 카포시 육종(Kaposi's sarcoma), 코로나-19(COVID-19), 타코츠보 심근증(Takotsubo cardiomyopathy), 태변 흡인 증후군(Meconium aspiration syndrome), 톡소플라즈마증(Toxoplasmosis), 특발성 폐섬유화증(Idiopathic pulmonary fibrosis), 파상풍(Tetanus), 파종혈관내응고(Diffuse or disseminated intravascular coagulation), 팔로 사 징후(Tetralogy of Fallot with/without PA), 편도암(Tonsillar cancer), 폐 농양(Abscess of lung), 폐 혈전색전증(Pulmonary thromboembolism), 폐기종(Emphysema), 폐렴(Pneumonia), 폐렴간균에 의한 폐렴 (Klebsiella pneumoniae infection), 폐성 고혈압(Pulmonary hypertension), 폐암(Lung cancer), 폼페병(Pompe disease), 피부근육염(Dermatopolymyositis), 허혈성 심질환(Ischemic heart disease), 혈관부종(Angioedema), 협심증(Angina pectoris), 호흡성 산증(Respiratory Acidosis), 화상(Burn), 횡격막 탈장(Diaphragmatic hernia), 효모균증(Cryptococcosis), 후두개염(Epiglottitis), 흉막 삼출(Pleural effusion), 흉선암(Thymus Cancer), 흑사병(Yersinia Pestis), 히스토플라즈마증(Histoplasmosis)"
간부전,"Rh 부적합 임신(Rh Incompatibility pregnancy), 간염(Hepatitis), 렙토스피라증(Leptospirosis), 윌슨병(Willson disease), 카르니틴 팔미토일 전환효소 결핍증 2형(Carnitine Palmitoyltransferase II Deficiency)"
간비대,"Rh 부적합 임신(Rh Incompatibility pregnancy), 간농양(Liver abscess), 간디스토마(Clonorchisis sinensis), 급성림프모구백혈병(Acute lymphoblastic leukemia), 니만-피크병(Niemann-Pick disease), 만성골수백혈병(Chronic myeloid leukemia), 만성림프구백혈병(Chronic lymphocytic leukemia), 발작성야간혈색뇨(Paroxysmal nocturnal hemoglobinuria), 백혈병(Leukemia), 버드 키아리 신드롬(Budd-Chiari syndrome), 베크위트-위드만 증후군(Beckwith-Wiedemann syndrome), 산필리포 증후군(Sanfilippo Syndrome), 선천성 담관 폐쇄증(Congenital Atresia of Bile Ducts), 소적혈구빈혈(Microcytic anemia), 슬라이 증후군(Sly Syndrome), 신생아 답즙정체증(Neonatal Cholestasis), 아밀로이드증(Amyloidosis), 온전한 심실 중격을 가진 폐동맥 폐쇄(Pulmonary atresia with intact venticulr septum), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 원발성 담즙성 경화증(Primary Biliary cirrhosis), 유전구형적혈구증(Hereditary spherocytosis), 자가면역용혈질환(Autoimmune hemolytic disease), 지중해빈혈(Thalassemia), 큐열(Q Fever)"
복수,"Rh 부적합 임신(Rh Incompatibility pregnancy), 간경화(Liver cirrhosis), 간염(Hepatitis), 결핵성 복막염(Tuberculous peritonitis), 과립막 세포종(Granulosa cell tumor), 난소암(Ovarian cancer), 랑거한스세포 조직구증식증(Langerhans cell histiocytosis), 만성 신부전(Chronic renal failure), 문맥색전증(Portal vein thrombosis), 버드 키아리 신드롬(Budd-Chiari syndrome), 선천성 담관 폐쇄증(Congenital Atresia of Bile Ducts), 신생아 답즙정체증(Neonatal Cholestasis), 심근병증(Cardiomyopathy), 알코올성 간질환(Alcoholic liver disease), 온전한 심실 중격을 가진 폐동맥 폐쇄(Pulmonary atresia with intact venticulr septum), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 원발부위 불명암(Cancer of Unknown Primary Site)"
빈혈,"Rh 부적합 임신(Rh Incompatibility pregnancy), 간문부 담관암(Klatskin's tumor), 골수증식종양(Myeloproliferative neoplasm), 골수형성이상증후군(Myelodysplastic syndromes), 과다월경(Hypermenorrhea), 궤양성 대장염(Ulcerative colitis), 급성골수성백혈병(Acute myeloid leukemia), 급성림프모구백혈병(Acute lymphoblastic leukemia), 기관지확장증(Bronchiectasis), 납 중독(Lead Poisoning), 다발골수종(Multiple myeloma), 단장 증후군(Short Bowel Syndrome), 만성 신부전(Chronic renal failure), 만성림프구백혈병(Chronic lymphocytic leukemia), 미세혈관병용혈빈혈(Microangiopathic hemolytic anemia), 반티 증후군(Banti syndrome), 발작성야간혈색뇨(Paroxysmal nocturnal hemoglobinuria), 백혈병(Leukemia), 버킷 림프종(Burkitt Tumor), 부신암(Adrenal gland cancer), 소장의 혈관 장애(Vascular disorders of intestine), 순수적혈구무형성(Pure red cell aplasia), 식도 정맥류(Esophageal varices), 신동맥 협착증(Renal artery stenosis), 십이지장 궤양(Duodenal ulcer), 쌍태아 수혈 증후군(Twin to twin Transfusion Syndrome), 악액질(Cachexia), 용혈빈혈(Hemolytic anemia), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 위 유암종(Gastric Carcinoid Tumor), 위 정맥류(Gastric varices), 위궤양(Gastric ulcer), 위암(Stomach cancer), 위장관 기질 종양(Stomach GIST), 윌슨병(Willson disease), 유전구형적혈구증(Hereditary spherocytosis), 응고 장애(Disorders of coagulation), 장출혈성 대장균 감염증(Enterohemorrhagic Escherichia coli), 재생불량빈혈(Aplastic anemia), 진행성 위암(Advanced gastric cancer), 철결핍빈혈(Iron deficiency anemia), 캐슬만병(Castlemans disease), 탈락 피부염(Exfoliative dermatitis), 포르피린증(Porphyria)"
비장비대,"Rh 부적합 임신(Rh Incompatibility pregnancy), 골수증식종양(Myeloproliferative neoplasm), 급성림프모구백혈병(Acute lymphoblastic leukemia), 니만-피크병(Niemann-Pick disease), 만성골수백혈병(Chronic myeloid leukemia), 만성림프구백혈병(Chronic lymphocytic leukemia), 발작성야간혈색뇨(Paroxysmal nocturnal hemoglobinuria), 백혈병(Leukemia), 베크위트-위드만 증후군(Beckwith-Wiedemann syndrome), 산필리포 증후군(Sanfilippo Syndrome), 선천성 담관 폐쇄증(Congenital Atresia of Bile Ducts), 소적혈구빈혈(Microcytic anemia), 슬라이 증후군(Sly Syndrome), 신생아 답즙정체증(Neonatal Cholestasis), 아밀로이드증(Amyloidosis), 용혈빈혈(Hemolytic anemia), 유전구형적혈구증(Hereditary spherocytosis), 자가면역용혈질환(Autoimmune hemolytic disease), 지중해빈혈(Thalassemia)"
폐출혈,Rh 부적합 임신(Rh Incompatibility pregnancy)
심부전,"Rh 부적합 임신(Rh Incompatibility pregnancy), 가습기 살균제 연관 폐질환(Humidifier disinfectant-associated lung injury), 단심실(Single ventricle), 대동맥 협착(Aortic stenosis), 대동맥궁 단절(Interrupted aortic arch), 발육부전성 좌심 증후군(Hypoplastic left heart syndrome), 방실 중격 결손(Atrioventricular septal defect), 신생아 다혈구증(Polycythemia), 심실 중격 결손(Ventricular septal defect), 심장 종양(Cardiac tumor), 쌍태아 수혈 증후군(Twin to twin Transfusion Syndrome), 아밀로이드증(Amyloidosis), 양대혈관 우심실 기시증(Double outlet right ventricle), 양방단실유입증(Double inlet ventricle), 엡스테인 심기형(Ebstein anomaly), 울혈성 심부전(Congestive heart failure), 철결핍빈혈(Iron deficiency anemia), 패혈증(Sepsis)"
두통,"VDT 증후군(Visual Display Terminal Syndrome), 간염(Hepatitis), 감염성 홍반(Erythema infectiosum), 결핵성 수막염(Tuberculous meningitis), 고산병(Mountain sickness), 고혈압(Essential (primary) hypertension), 골수염(Osteomyelitis), 광견병(Rabies), 교모세포종(Glioblastoma), 근단 주위 농양(Periapical abscess with sinus), 근시(Myopia), 근육 긴장성 두통(Tension-type headache), 금단 현상(Withdrawal Phenomenon), 급성 신우신염(Acute pyelonephritis), 급성 위장염(Acute gastroenteritis), 급성 중이염(Acute otitis media), 기뇌증(Pneumocephalus), 난시(Astigmatism), 납 중독(Lead Poisoning), 넬슨 증후군(Nelson's syndrome), 노로바이러스 장염(Norovirus Gastroenteritis), 노안(Presbyopia), 녹내장(Glaucoma), 뇌 동정맥 기형(Cerebral arteriovenous malformation), 뇌농양(Brain abscess), 뇌동맥류(Cerebral aneurysm), 뇌염(Encephalitis), 뇌졸중(Cerebrovascular disease), 뇌종양(Brain tumor), 뇌출혈(Cerebral hemorrhage), 뇌하수체 양성 및 악성 신생물(Malignant or benign neoplasm of Pituitary gland), 단순 포진성 뇌염(Herpes simplex encephalitis), 대사성 산증(Metabolic Acidosis), 대상포진(Herpes zoster), 대장균 감염(Escherichia coli (E. coli) infection), 뎅기열(Dengue fever), 독성 쇼크 증후군(Toxic shock syndrome), 두개골 골절(Skull Fracture), 라임병(Lyme disease), 레지오넬라증(Legionella), 렙토스피라증(Leptospirosis), 리스테리아(Listeria), 마버그열(Marburg hemorrhagic fever), 말단비대증(Acromegaly), 말라리아(Malaria), 메리오이드증(Melioidosis), 미세변화 신증후군(Minimal change nephrotic syndrome), 미세혈관병용혈빈혈(Microangiopathic hemolytic anemia), 바이러스성 뇌수막염(Viral meningitis), 박테리아성 뇌수막염(Bacterial meningitis), 발진열(Murine typhus), 발진티푸스(Epidemic typhus), 방선균증(Actinomycosis), 배란통(Ovulation pain), 범혈구감소증(Pancytopenia), 본히펠린다우 증후군 (Von Hippel-Lindau syndrome), 봉와직염(Cellulitis), 부비동염(Sinusitis), 브루셀라증(Brucellosis), 사시(Strabismus), 삼차 신경병증(Trigeminal neuralgia), 상기도 감염(Upper respiratory infections), 새집 증후군(Sick building syndrome), 생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma), 소적혈구빈혈(Microcytic anemia), 수두(Varicella (chickenpox)), 수두증(Hydrocephalus), 수막종(Meningioma), 수족구병(Hand, foot and mouth disease), 순수적혈구무형성(Pure red cell aplasia), 신종 플루(Novel swine-origin influenza A(H1N1)), 신증후성 출혈열(Hemorrhagic fever with renal syndrome), 신체형 장애(Somatic symptom disorder), 심낭염(Pericarditis), 심내막염(Endocarditis), 악성 신경교종(Malignant Glioma), 야토병(Tularemia), 외상성 경막하 출혈(Traumatic subdural hemorrhage), 외상에 의한 뇌 손상(Traumatic brain injury), 요독증(Uremia), 울혈성 심부전(Congestive heart failure), 원발성 월경곤란(Primary dysmenorrhea), 원발성 중추신경계 림프종(Primary CNS lymphoma), 원충성 질환(PROTOZOAL DISEASES), 월경전 증후군(Premenstrual syndrome), 웨스트나일열(West Nile Fever), 유행성 이하선염(Mumps), 인플루엔자(Influenza), 일본 뇌염(Japanese encephalitis), 임신성 고혈압(Pregnancy-induced hypertension), 자간전증(Pre-eclampsia), 자궁 발육부전(Hypoplasia uteri), 자발성 두개강 내 출혈(Spontaneous intracranial hemorrhage), 장티푸스(typhoid fever), 저나트륨혈증(Hyponatremia), 저혈당증(Hypoglycemia), 저혈압(Hypotension), 전신 홍반성 낭창(Systemic lupus erythematosus), 전이성 신장암(Kidney, cancer, metastatic), 중증 급성 호흡기 증후군(Severe Acute Respiratory Syndrom), 중증 열성 혈소판감소 증후군(Severe fever with thrombocytopenia syndrome(SFTS)), 지주막하 출혈(Subarachnoid hemorrhage), 척추 뇌저 동맥 증후군(Vertebro-basilar artery syndrome), 춘곤증(spring fatigue), 캄필로박터 감염증(Campylobacteriosis), 코로나-19(COVID-19), 큐열(Q Fever), 턱관절 장애(Temporomandibular joint disorders), 턱관절 탈구(Luxation of the mandible), 털진드기병(Scrub typhus), 파라티푸스(Paratyphoid fever), 파상풍(Tetanus), 폐경(Menopause), 폐렴(Pneumonia), 풍진(Rubella(German measles)), 호흡성 산증(Respiratory Acidosis), 효모균증(Cryptococcosis), 후두 신경통(Occipital Neuralgia), 흉선암(Thymus Cancer), 희발월경(Oligomenorrhea)"
