Title,Symptoms,Related Diseases,Departments,Synonyms
골수증식종양(Myeloproliferative neoplasm),"멍, 말초 통증, 말초의 허혈, 출혈 경향성, 소양감, 안면홍조, 혈전증, 빈혈, 비장비대","혈소판 이상, 골수섬유증, 신생아 다혈구증","혈액내과, 소아청소년종양혈액과","MPN,골수증식성 질환,다혈구혈증,특발성 혈소판증가증,골수증식성 신생물"
골수형성이상증후군(Myelodysplastic syndromes),"호흡곤란, 출혈 경향성, 빈혈, 잦은 감염, 피로감, 열","재생불량빈혈, 급성골수성백혈병, 호중구감소증, 백혈구 이상, 범혈구감소증, 순수적혈구무형성, 판코니범혈구감소증",,"소아골수이형성증후군,골수이형성증후군"
골육종(Osteosarcoma),"덩어리가 만져짐, 뼈의 통증, 환부 통증",뼈의 신생물,"종양내과, 방사선종양학과, 소아청소년종양혈액과, 정형외과","골암,골원성육종,뼈암"
"골절 후 부정 유합, 불유합(Malunion & nonunion of fracture)","뼈의 변형, 손상 부위 통증, 발적, 다리변형","피로 골절, 대퇴 골절, 팔죽지 골절, 원위 요골과 척골 골절, 경골과 비골 골절, 천추골 골절",정형외과,"부정유합,불유합"
골형성부전증(Osteogenesis imperfecta),"얼굴형태의 이상, 목소리 변화, 근긴장의 이상, 청력장애, 멍, 발한","파이퍼 증후군 , 스티클러 증후군, 연골무형성증, 니스트 이형성증, 연골형성저하증, 저인산증, 크루존 증후군, 에이퍼트 증후군 ","의학유전학센터, 의학유전학과","골취약증,골형성 부전,골형성 장애,불완전골형성증,화골부전증"
곰팡이 감염(Fungal infection),"피부 각질, 손,발톱이 갈라짐, 피부소양감, 발가락 사이 갈라짐","조갑백선, 무좀, 진균성 각막 궤양, 어린선",피부과,곰팡이질환
공기가슴증(기흉)(Pneumothorax),"호흡곤란, 가슴 통증","만성 폐쇄성 폐질환, 폐기종","호흡기내과, 심장혈관흉부외과","기흉,폐기흉"
공황 장애(Panic disorder),"오심, 손떨림, 오한, 온몸이 떨림, 가슴 통증, 감각 이상, 발한, 숨막히는 느낌, 어지러움, 죽음에 대한 공포, 얼굴이 화끈거림, 가슴 두근거림, 가슴 답답","불안 장애, 부정맥, 갑상선기능항진증, 심계항진",정신건강의학과,"공황발작,우발적 발작성불안,임소공포"
과다월경(Hypermenorrhea),"빈혈, 어지러움","여성 불임, 자궁내막 이상증식증, 폰빌레브란트병, 면역혈소판감소증, 자궁내막암, 자궁의 평활근종, 자궁선근증, 자궁내막 용종",산부인과,"Hypermenorrhea,Menorrhagia,過多月經,과다생리,과다생리증,생리과다,생리과다증,월경과다,월경과다증"
과립막 세포종(Granulosa cell tumor),"복부 통증, 무월경, 생식기 출혈, 성조숙증, 복수, 비정상적 질출혈, 덩어리가 만져짐","난소, 난관 이상, 생식선 및 생식 세포의 신생물, 난소의 양성 종양, 난소암",산부인과,
과민성 방광(Overactive Bladder),,"방광의 신경근육 기능 장애, 급성 방광염, 간질성 방광염",비뇨의학과,
"과숙아, 만기 후 출산아(Post-term infant)","창백, 태아 심박동수 이상","난산, 신생아 가사","신생아과, 어린이병원","과기 출산아,만기후 출생아,Post-mature infant"
과오종(Hamartoma),암 부위별로 다름,"간 혈관종, 위용종, 대장 용종",종양내과,
과호흡 증후군(Hyperventilation syndrome),"복부팽만감, 흉부압박감, 불안, 복부 통증, 부정맥, 의식 변화, 호흡곤란, 인지장애, 가슴 두근거림","대사성 산증, 패혈증, 저체온증, 호흡성 알칼리증, 천식, 불안 장애","호흡기내과, 응급의학과, 정신건강의학과","과다호흡,과다호흡증,과다호흡증후군,과호흡,과호흡증,과환기증후군"
관절염(Arthritis),"발적, 환부 부종, 뻣뻣함, 압통","슬개건염, 류마티스 관절염, 강직성 척추염, 골관절염, 패혈성 관절염, 슬관절 장애","재활의학과, 정형외과, 류마티스내과, 알레르기내과","Arthrosis,Osteo-arthrosis,골관절증,관절의 염증,관절증,뼈마디염"
관절와순 파열(Labral tear),"어깨의 통증, 어깨 움직임의 제한, 어깨 잡음","회전근개 증후군, 재발성 견관절 전방 탈구, 동결견",정형외과,"슬랩,슬랩 병변,SLAP,상부관절와순 파열,관절와순 손상"
광견병(Rabies),"열, 뇌전증 발작 , 호흡곤란, 근육강직, 두통, 뇌염증상, 혼수, 구토",길랑-바레 증후군,감염내과,"공수병,광견병 바이러스"
광선 각화증(Actinic Keratosis),"뿔 모양의 병변, 적색의 각질화된 피부","상피내 신생물, 악성 흑색종, 피부암",피부과,"Solar Keratosis,senile keratosis,일광각화증,자외선각화증"
광우병(Bovine spongiform encephalopathy),"정신 지체, 이상행동, 기억장애, 치매","치매, 크로이츠펠트-야콥병","감염내과, 신경과, 신경외과",
광장공포증(Agoraphobia),"대인관계 어려움, 불안","불안 장애, 공황 장애",정신건강의학과,광장공포
괴혈병(scurvy),"철결핍성 빈혈, 출혈 경향성, 뼈의 변형, 식욕부진, 기운없음, 권태감",구루병,가정의학과,비타민 C 부족증
교모세포종(Glioblastoma),"오심, 두통, 구토, 뇌전증 발작 ","신경모세포종, 수두증, 양성 뇌종양, 뇌종양, 뇌신경 인플레 , 원발성 중추신경계 림프종","종양내과, 방사선종양학과, 소아청소년종양혈액과, 신경외과, 소아신경외과",
구강암(Oral Cancer),"종양부위 부종, 치아 흔들림, 덩어리가 만져짐, 목의 통증, 구강궤양, 삼키기 곤란 , 턱의 통증, 감각 이상, 목소리 변화",타액선암,"종양내과, 방사선종양학과, 이비인후과, 치과, 구강악안면외과","oral cavity cancer,구강저암,설암,치은암,협부암"
구개열(Cleft palate),"치아발달장애, 얼굴형태의 이상, 발음 이상, 청력장애, 수유 곤란","구순열, 급성 중이염",성형외과,"구개파열,구순구개열,입천장갈림증"
구루병(Rickets),"림프 부종, 굽은 등, 발한, O자 다리, 다리변형, 뼈의 변형, 창백, 새가슴, 뼈의 기형",내반슬,"정형외과, 소아정형외과",
구순열(Cleft lip),"입술, 입천장의 기형, 수유 곤란, 얼굴형태의 이상, 치아발달장애, 발음 이상",구개열,성형외과,"구순구개열,언청이,입술갈림증,토순"
구순염(Cheilitis),"입 주변 부종, 소양감, 입술 갈라짐",구순포진,피부과,
구순포진(Herpes labialis),"소양감, 피부색 변화, 물집, 작열감","헤르페스 바이러스 감염, 대상포진 후 신경통, 대상포진, 아토피성 피부염","감염내과, 피부과",입술포진
구토(Vomiting),,담관암,소화기내과,
구획 증후군(Compartment syndrome),"무맥, 창백, 환부 통증, 마비","감염성 근육염, 동상, 경골과 비골 골절, 병리적 골절, 대퇴 골절, 원위 요골과 척골 골절, 팔죽지 골절, 피부근육염, 혈우병, 자간전증, 자간증",정형외과,"확정형 구획증후군,만성형 구획증후군"
국소 다한증(Localized hyperhidrosis),"손,발,겨드랑이 발한, 겨드랑이 악취 , 피부염증","접촉 피부염, 취한증",심장혈관흉부외과,"다한증,손발바닥 땀과다증,땀과다증"
군발성 두통 증후군(Cluster headache syndrome),"눈물흘림, 콧물, 눈의 통증, 코막힘","근육 긴장성 두통, 편두통",신경과,"군발두통,군발두통증후군,송이 두통,송이두통증후군"
궤양성 대장염(Ulcerative colitis),"열, 점액변, 변비, 빈혈, 혈변, 탈수, 체중감소, 설사, 복부 통증","위막성 대장염, 대장염, 자극성 장 증후군, 대장균 감염, 대장 용종, 크론병, 강직성 척추염, 관절염, 장출혈성 대장균 감염증",소화기내과,"궤양대장염,염증성 장 질환,큰 창자염"
귀두포피염(Balanoposthitis),"고름, 배뇨곤란",포경,"비뇨의학과, 소아비뇨의학과",
규폐증(Silicosis),"운동 시 호흡곤란, 가래, 기침","폐 전이, 소세포성 폐암, 폐암, 비소세포성 폐암, 악성 중피종, 진폐증",호흡기내과,"Anthracosilicosis,Silicosis NOS,Silicotic fibrosis (massive) of lung,규폐증 NOS,탄규폐증,폐의 광범위 규폐성 섬유증,폐의 규폐성 섬유증"
근감소증(Sarcopenia),"하지의 근력약화, 보행이상, 근력 약화, 피로감","노화, 골다공증, 노쇠",노년내과,
근근막 통증 증후군(myofascial pain syndrome),"압통, 근육통, 방사통","섬유근육통, 동결견",재활의학과,"근막동통증후군,담,담 걸리다,담결림,담이 걸리다,담통증,발통증후군"
근긴장성 이영양증 (Myotonic dystrophy),,"척수구근 근위축증 , 척수소뇌성 운동실조증 , 유약 X 증후군, Haw River 증후군, 헌팅톤 병, 프리이드라이히 운동실조증 ","의학유전학센터, 의학유전학과",근육긴장퇴행위축
근단 주위 농양(Periapical abscess with sinus),"치근단 부위 부종, 이가 시림, 두통, 잇몸염증, 열","급성 치수염, 치아 우식증[충치], 치은염, 치주 농양, 치근낭",치과,치근단 농양
근시(Myopia),"두통, 시력 감소","망막 박리, 난시, 약시","안과, 소아안과","nearsightedness,고도근시,근시안"
근위축성 측색 경화증(Amyotrophic lateral sclerosis),"손, 발 감각 저하, 피부 긴장도 저하, 언어장애, 삼키기 곤란 , 근력 약화","운동신경 질환, 다발성 경화증",신경과,"Lou Gehrig disease,근위축성 측삭경화증,루게릭,루게릭병"
근육 긴장성 두통(Tension-type headache),"두통, 압통","편두통, 군발성 두통 증후군",신경과,긴장성두통
근육긴장이상증(Dystonia),"언어장애, 근육경련, 근육강직, 근육의 뒤틀림, 눈꺼풀의 떨림, 삼키기 곤란 , 사경, 근육긴장","뇌졸중, 헌팅톤 병, 윌슨병, 선천성 사경",신경과,"근긴장이상,근긴장이상장애,근긴장이상증,근긴장장애,근육긴장장애,디스토니아,디스토니아병,디스토니아장애,디스토니아질환,근육긴장이상"
근육병(Myopathy),"관절 구축, 근육경련, 안검하수, 삼키기 곤란 , 근력 약화, 척추 측만, 종아리 근육의 비대, 근위축, 호흡곤란","듀시엔형 근이영양증 , 베커형 근이영양증, 안검하수",소아재활의학과,"근경직증,근긴장저하,근디스트로피,근위축,근육긴장저하,근육질환,근육퇴행위축,근이영양증,근질환,염증성 근병변,염증성 근병증,염증성 근염,염증성 근질환"
금단 현상(Withdrawal Phenomenon),"기운없음, 복시, 손떨림, 고혈압, 서맥, 우울, 저혈압, 환각, 두통, 불면증, 불안, 청색증, 환청","알코올 의존성, 불안 장애, 인터넷 중독, 불면증, 소화불량, 행동 및 충동 장애, 우울증",정신건강의학과,"withdrawal symptoms,금단증상"
급성 A형 간염(Acute hepatitis A),"진한 소변색, 구토, 황달, 감기 증상, 열, 설사, 오심, 권태감, 복부 통증, 식욕부진","급성 바이러스성 간염, 급성 B형 간염, 급성 C형 간염",소화기내과,a형간염
급성 B형 간염(Acute hepatitis B),"구토, 근육통, 진한 소변색, 설사, 황달, 열, 피부소양감, 권태감, 오심","간염, 만성 B형 간염, 간세포암","소화기내과, 간이식ㆍ간담도외과",
급성 C형 간염(Acute hepatitis C),"황달, 피부소양감, 복부 불편감, 진한 소변색, 식욕부진, 근육통, 피로감, 열감, 콧물","만성 C형 간염, 간염, 간세포암","소화기내과, 간이식ㆍ간담도외과, 소아소화기영양과",
급성 간질성 신염(Acute tubulo-interstitial nephritis),"발진, 단백뇨, 혈뇨, 요통, 고혈압, 열, 관절통","고혈압, 사구체신염, 만성 신부전, 급성 신부전, 신부전",신장내과,세뇨관 간질성 신염
급성 관동맥 증후군(Acute Coronary Syndrome),"방사통, 가슴 통증, 어지러움, 호흡곤란, 오심","죽상경화증, 당뇨병, 고콜레스테롤혈증, 고혈압, 급성 심근경색증, 불안정형 협심증, 협심증","심장내과, 심장혈관흉부외과","ACS,급성 협심증"
급성 기관지염(Acute bronchitis),"천명음, 호흡곤란, 기침, 가래","폐렴, 만성 기관지염, 편도선염, 결핵, 상기도 감염, 아데노이드의 비대를 동반한 편도의 비대, 인플루엔자, 폐결핵","호흡기내과, 이비인후과, 소아중환자과",기관지염
급성 담낭염(Acute cholecystitis),"오심, 구토, 복부 통증, 열","담낭암, 담석, 만성 담낭염","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",급성 쓸개염
급성 류마티스성 열(Acute Rheumatic fever),"결절, 비출혈, 열, 발진, 복부 통증, 다발성 관절염, 빈맥","승모판 기능부전, 류마티스 관절염, 성홍열, 상기도 감염, 심근염","응급의학과, 어린이병원","급성 류머티스 열,류마티스 열,류마티스성열,류머트열,류머티스 열,류머티스성열"
급성 바이러스성 간염(Acute viral hepatitis),"관절통, 황달, 복부 통증, 오심, 피부 긴장도 저하, 피부소양감, 감기 증상, 근육통, 권태감, 식욕부진, 구토, 피로감","급성 B형 간염, 독성 간염, 전격성 간염, 만성 C형 간염, 간염, 자가면역성 간염, 급성 C형 간염, 급성 A형 간염, 만성 B형 간염","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과","Viral Hepatitis,바이러스 간염,바이러스성 간염"
급성 방광염(Acute cystitis),"탁한 소변, 골반 통증, 배뇨 시 통증, 배뇨곤란, 작열감, 긴박뇨, 빈뇨","급성 신우신염, 만성 전립선염, 양성 전립선 비대증, 급성 질염",비뇨의학과,"방광 감염,방광 염증,방광염,오줌소태,하부요로감염"
급성 신부전(Acute renal failure),"경련, 탈수, 소변량 감소, 구토, 산혈증, 무뇨, 쇼크, 저혈량 쇼크, 오심, 전신 부종","처그 스트라우스 증후군, 선천성 심장 질환, 고혈압, 사구체신염, 신우요관암의 전이, 대동맥 협착, 신부전, 급성 간질성 신염, 신세포암종, 전격성 간염, 만성 신부전, 말기 신질환, 요로결석, 신우요관암","신장내과, 신ㆍ췌장이식외과","급성신부전증,급성신장기능상실증,급성콩팥기능상실증"
